songID,awb
1222,MER_288
1224,MER_290
1226,MER_292
1227,MER_294
1228,MER_296
1229,MER_298
1230,MER_300
1231,MER_302
1232,MER_304
1236,MER_308
1237,MER_310
1238,MER_312
1239,MER_378
1240,MER_380
1241,MER_530
1242,MER_314
1243,MER_316
1244,MER_318
1245,MER_320
1246,MER_322
1247,MER_382
1248,MER_384
1249,MER_386
1250,MER_324
1251,MER_388
1254,MER_326
1255,MER_328
1256,MER_390
1258,MER_330
1259,MER_332
1260,MER_334
1261,MER_336
1262,MER_338
1263,MER_340
1264,MER_392
1265,MER_342
1267,MER_346
1268,MER_348
1269,MER_350
1270,MER_352
1272,MER_354
1273,MER_356
1274,MER_358
1275,MER_360
1276,MER_362
1278,MER_364
1279,MER_366
2001,MER_394
2002,MER_396
2003,MER_398
2004,MER_400
2005,MER_402
2006,MER_404
2007,MER_406
2008,MER_408
2009,MER_410
2010,MER_412
2011,MER_414
2012,MER_416
2013,MER_418
2014,MER_420
2015,MER_422
2016,MER_424
2017,MER_426
2019,MER_428
2021,MER_430
2022,MER_432
2023,MER_434
2024,MER_436
2027,MER_438
2028,MER_440
2029,MER_442
2030,MER_444
2031,MER_446
2032,MER_448
2033,MER_450
2034,MER_452
2036,MER_306
2037,MER_456
2038,MER_532
2039,MER_534
2040,MER_458
2042,MER_460
2043,MER_462
2046,MER_464
2047,MER_466
2048,MER_468
2049,MER_470
2053,MER_472
2054,MER_474
2055,MER_476
2056,MER_478
2058,MER_536
2059,MER_480
2060,MER_482
2062,MER_484
2065,MER_486
2066,MER_488
2067,MER_490
2068,MER_492
2069,MER_494
2070,MER_496
2071,MER_498
2072,MER_500
2073,MER_502
2074,MER_504
2075,MER_506
2076,MER_508
2077,MER_510
2078,MER_512
2079,MER_538
2080,MER_540
2081,MER_542
2082,MER_544
2083,MER_546
2084,MER_514
2085,MER_548
2088,MER_516
2089,MER_518
2090,MER_520
2091,MER_522
2092,MER_550
2202,MER_552
2203,MER_554
2204,MER_556
2205,MER_558
2206,MER_560
2207,MER_562
2208,MER_564
2209,MER_566
2210,MER_568
2211,MER_570
2212,MER_572
2213,MER_574
2214,MER_576
2215,MER_578
2216,MER_580
2217,MER_582
2218,MER_584
2219,MER_586
2220,MER_588
2221,MER_590
2222,MER_592
2223,MER_594
2224,MER_596
2225,MER_598
2226,MER_600
2227,MER_602
2228,MER_652
2229,MER_604
2230,MER_606
2231,MER_608
2232,MER_610
2234,MER_612
2235,MER_614
2236,MER_616
2238,MER_618
2239,MER_620
2240,MER_622
2243,MER_624
2244,MER_626
2245,MER_628
2246,MER_630
2247,MER_632
2248,MER_634
2249,MER_636
2250,MER_638
2251,MER_640
2252,MER_642
2253,MER_644
2254,MER_646
2255,MER_648
2256,MER_650
3003,MER_654
3004,05_0
3005,MER_656
3006,MER_658
3007,MER_660
3008,MER_662
3009,MER_664
3011,MER_666
3012,MER_668
3013,MER_670
3015,MER_672
3016,MER_674
3017,MER_676
3018,MER_678
3019,MER_680
3020,MER_682
3021,MER_684
3022,MER_686
3023,MER_688
3024,01_0
3025,02_2
3026,01_2
3027,03_0
3028,MER_690
3029,MER_692
3030,03_2
3031,01_4
3032,06_0
3033,01_6
3034,01_8
3035,01_10
3036,02_4
3037,02_6
3038,02_8
3039,02_10
3040,02_12
3041,02_14
3042,03_4
3044,04_0
3045,04_2
3046,04_4
3047,04_6
3048,04_8
3049,04_10
3050,04_12
3052,05_2
3053,05_4
3055,04_14
3056,04_16
3057,04_18
3058,05_6
3059,05_8
3060,05_10
3061,05_12
3062,06_2
3063,06_4
3064,06_6
3070,05_14
3071,07_0
3072,07_2
3073,07_4
3074,07_6
3075,07_8
3076,07_10
3077,07_12
3078,07_14
3079,07_16
3080,07_18
3081,07_20
3082,07_22
3083,07_24
3084,07_26
3085,07_28
3086,07_30
3087,07_32
3088,07_34
3089,07_36
3090,07_38
3091,07_40
3092,07_42
3093,07_44
3094,07_46
